"region","physical_pc","virtual_pc","instructions"
"ROME","0xeb5a75","0x6a75","14223832"
"ROME","0xeb5ae0","0x6ae0","11707808"
"ROME","0xeb8cb3","0x5cb3","7641840"
"ROME","0xeb8ce5","0x5ce5","5843760"
"ROME","0xeb5678","0x6678","4027530"
"ROME","0xeaa55b","0xf55b","3678785"
"ROME","0xeb508a","0x608a","3465984"
"ROME","0xebe937","0x7937","2811040"
"ROME","0xeb5111","0x6111","2618560"
"ROME","0xeb5aa7","0x6aa7","2510088"
"ROME","0xeb5aae","0x6aae","2510088"
"ROME","0xea8352","0xd352","2124120"
"ROME","0xeb5655","0x6655","1798020"
"ROME","0xeb550f","0x650f","1676480"
"ROME","0xea8349","0xd349","1617096"
"ROME","0xeb6233","0x7233","1490034"
"ROME","0xea8340","0xd340","1358185"
"ROME","0xeb782a","0x882a","1345554"
"ROME","0xeb5646","0x6646","1194114"
"ROME","0xebe933","0x7933","1124416"
"ROME","0xeb55a0","0x65a0","1124024"
"ROME","0xea835d","0xd35d","1078200"
"ROME","0xeb6bd4","0x7bd4","1015425"
"ROME","0xeb6c30","0x7c30","970389"
"ROME","0xeaa4ca","0xf4ca","817857"
"ROME","0xeb5b1a","0x6b1a","790636"
"ROME","0xeb5b02","0x6b02","790188"
"ROME","0xeaa52a","0xf52a","759190"
"ROME","0xeb5131","0x6131","748416"
"ROME","0xea82ca","0xd2ca","736344"
"ROME","0xeb6c47","0x7c47","721614"
"ROME","0xeb50c2","0x60c2","649872"
"ROME","0xeb50cc","0x60cc","606576"
"ROME","0xeb7822","0x8822","598024"
"ROME","0xeb50d3","0x60d3","561312"
"ROME","0xeb50da","0x60da","561312"
"ROME","0xeaa549","0xf549","559984"
"ROME","0xeb5c18","0x6c18","558096"
"ROME","0xeb8cda","0x5cda","516825"
"ROME","0xea8572","0xd572","493493"
"ROME","0xeb8c8c","0x5c8c","489520"
"ROME","0xeb8d99","0x5d99","476154"
"ROME","0xeb6c38","0x7c38","468485"
"ROME","0xeb002b","0x502b","454950"
"ROME","0xeb8d17","0x5d17","449667"
"ROME","0xea8596","0xd596","434880"
"ROME","0xeb5086","0x6086","433248"
"ROME","0xeb6bfa","0x7bfa","433248"
"ROME","0xeb599d","0x699d","418320"
"ROME","0xeb59bc","0x69bc","418320"
"ROME","0xea8302","0xd302","417571"
"ROME","0xeaa4a5","0xf4a5","417571"
"ROME","0xeb553f","0x653f","386880"
"ROME","0xeb5c38","0x6c38","372064"
"ROME","0xeb77c8","0x87c8","353682"
"ROME","0xeb5549","0x6549","345888"
"ROME","0xeb56e5","0x66e5","338814"
"ROME","0xeaa53a","0xf53a","334435"
"ROME","0xeb5b05","0x6b05","325556"
"ROME","0xeb5b4c","0x6b4c","325556"
"ROME","0xeb5988","0x6988","325360"
"ROME","0xeb61fb","0x71fb","319296"
"ROME","0xeb6202","0x7202","319296"
"ROME","0xeb77ed","0x87ed","310556"
"ROME","0xeb5550","0x6550","306864"
"ROME","0xeb5557","0x6557","306864"
"ROME","0xeb55ba","0x65ba","306552"
"ROME","0xec2fd2","0x7fd2","306096"
"ROME","0xea8362","0xd362","304356"
"ROME","0xeb4988","0x5988","297858"
"ROME","0xeb503a","0x603a","284319"
"ROME","0xeb5b95","0x6b95","279048"
"ROME","0xeb6c29","0x7c29","277254"
"ROME","0xeb8c6d","0x5c6d","275355"
"ROME","0xeb49ba","0x59ba","270780"
"ROME","0xea8aca","0xdaca","265829"
"ROME","0xeb8d49","0x5d49","264510"
"ROME","0xeb550b","0x650b","257920"
"ROME","0xeb564f","0x664f","249404"
"ROME","0xea81da","0xd1da","228928"
"ROME","0xea838e","0xd38e","214925"
"ROME","0xeb8d05","0x5d05","214165"
"ROME","0xeb4d31","0x5d31","211176"
"ROME","0xea8064","0xd064","204480"
"ROME","0xeb519b","0x619b","202048"
"ROME","0xea8d38","0xdd38","196812"
"ROME","0xea8aaa","0xdaaa","191055"
"ROME","0xeb5c68","0x6c68","185920"
"ROME","0xea829d","0xd29d","185350"
"ROME","0xeb5ab6","0x6ab6","183216"
"ROME","0xea8384","0xd384","171940"
"ROME","0xeb54bc","0x64bc","169260"
"ROME","0xea8586","0xd586","164010"
"ROME","0xeb48fc","0x58fc","161200"
"ROME","0xeb77bd","0x87bd","157192"
"ROME","0xeb4851","0x5851","153601"
"ROME","0xeb5412","0x6412","153140"
"ROME","0xea82fa","0xd2fa","151844"
"ROME","0xeb56dc","0x66dc","150584"
"ROME","0xeb8c5d","0x5c5d","146100"
"ROME","0xeaa4db","0xf4db","145730"
"ROME","0xea837a","0xd37a","144616"
"ROME","0xea8370","0xd370","144412"
"ROME","0xea81e2","0xd1e2","144045"
"ROME","0xeb5b5e","0x6b5e","139524"
"ROME","0xeb5072","0x6072","135390"
"ROME","0xeb517e","0x617e","134136"
"ROME","0xeb8c81","0x5c81","133355"
"ROME","0xeb564d","0x664d","129536"
"ROME","0xeb7819","0x8819","128624"
"ROME","0xeb5628","0x6628","122976"
"ROME","0xeb6bca","0x7bca","121851"
"ROME","0xeb5139","0x6139","120704"
"ROME","0xeb5653","0x6653","119868"
"ROME","0xec317b","0x817b","117519"
"ROME","0xec2f8a","0x7f8a","114786"
"ROME","0xea8313","0xd313","113874"
"ROME","0xeb8d82","0x5d82","111888"
"ROME","0xeb0010","0x5010","111210"
"ROME","0xeb6be2","0x7be2","108312"
"ROME","0xeb4846","0x5846","107995"
"ROME","0xea8398","0xd398","106257"
"ROME","0xeb4d5f","0x5d5f","105588"
"ROME","0xeb55c1","0x65c1","104064"
"ROME","0xeb8d77","0x5d77","103290"
"ROME","0xea836d","0xd36d","102361"
"ROME","0xea8377","0xd377","102004"
"ROME","0xea81ef","0xd1ef","98806"
"ROME","0xeb5c4e","0x6c4e","93016"
"ROME","0xea81a2","0xd1a2","91670"
"ROME","0xeb77df","0x87df","91340"
"ROME","0xec309d","0x809d","90189"
"ROME","0xeb48e3","0x58e3","88660"
"ROME","0xeb7788","0x8788","84405"
"ROME","0xea81f2","0xd1f2","82503"
"ROME","0xeb5612","0x6612","77040"
"ROME","0xec3276","0x8276","76890"
"ROME","0xea82f6","0xd2f6","75922"
"ROME","0xea8318","0xd318","75916"
"ROME","0xea808e","0xd08e","71244"
"ROME","0xec308a","0x808a","71058"
"ROME","0xeb629b","0x729b","71016"
"ROME","0xeb4d23","0x5d23","70392"
"ROME","0xeb776b","0x876b","69705"
"ROME","0xeaa4b6","0xf4b6","69030"
"ROME","0xeb4860","0x5860","65805"
"ROME","0xebe931","0x7931","64797"
"ROME","0xeb54f4","0x64f4","64480"
"ROME","0xea838b","0xd38b","61928"
"ROME","0xea8396","0xd396","61228"
"ROME","0xeb5193","0x6193","60352"
"ROME","0xec303a","0x803a","60126"
"ROME","0xec305a","0x805a","60126"
"ROME","0xeb13f6","0x63f6","60044"
"ROME","0xeb569b","0x669b","58008"
"ROME","0xeb51bc","0x61bc","57728"
"ROME","0xeb8c11","0x5c11","56457"
"ROME","0xeb50e2","0x60e2","54864"
"ROME","0xeb486a","0x586a","54860"
"ROME","0xeb48a7","0x58a7","54860"
"ROME","0xea8381","0xd381","54187"
"ROME","0xeb56b7","0x66b7","53174"
"ROME","0xeb62bb","0x72bb","47344"
"ROME","0xeb616d","0x716d","46976"
"ROME","0xeb59d5","0x69d5","46480"
"ROME","0xeb6c4a","0x7c4a","46209"
"ROME","0xeb5c72","0x6c72","45695"
"ROME","0xeb514c","0x614c","45264"
"ROME","0xebe941","0x7941","43198"
"ROME","0xea807d","0xd07d","43065"
"ROME","0xeb8bc7","0x5bc7","42112"
"ROME","0xeb6158","0x7158","41104"
"ROME","0xec3156","0x8156","40995"
"ROME","0xec31cc","0x81cc","40995"
"ROME","0xeb563e","0x663e","40992"
"ROME","0xea81d8","0xd1d8","40880"
"ROME","0xeb4c6d","0x5c6d","40617"
"ROME","0xeb4c75","0x5c75","40617"
"ROME","0xeb4c80","0x5c80","40617"
"ROME","0xeb53ef","0x63ef","40300"
"ROME","0xeb5404","0x6404","40300"
"ROME","0xebe6eb","0x76eb","40150"
"ROME","0xec009f","0x509f","39492"
"ROME","0xec0139","0x5139","39492"
"ROME","0xeb55d4","0x65d4","39024"
"ROME","0xeb5621","0x6621","38520"
"ROME","0xec399e","0x899e","37968"
"ROME","0xea98f8","0xe8f8","37961"
"ROME","0xea98fb","0xe8fb","37961"
"ROME","0xea98fe","0xe8fe","37958"
"ROME","0xeb8d63","0x5d63","37296"
"ROME","0xec31ff","0x81ff","35529"
"ROME","0xeb4c8e","0x5c8e","35196"
"ROME","0xeb4d12","0x5d12","35196"
"ROME","0xea82f5","0xd2f5","35063"
"ROME","0xeb7777","0x8777","34755"
"ROME","0xeb77b4","0x87b4","34016"
"ROME","0xeb555f","0x655f","33660"
"ROME","0xeb48c8","0x58c8","32880"
"ROME","0xec0371","0x5371","32859"
"ROME","0xec03f2","0x53f2","32859"
"ROME","0xec0473","0x5473","32859"
"ROME","0xec04cc","0x54cc","32850"
"ROME","0xec051d","0x551d","32850"
"ROME","0xec0540","0x5540","32850"
"ROME","0xec0589","0x5589","32850"
"ROME","0xec3122","0x8122","32796"
"ROME","0xeb4cc0","0x5cc0","32526"
"ROME","0xeb56d3","0x66d3","32456"
"ROME","0xec0182","0x5182","30870"
"ROME","0xea8355","0xd355","30610"
"ROME","0xec3731","0x8731","30510"
"ROME","0xeb8d3e","0x5d3e","30065"
"ROME","0xec30f4","0x80f4","30063"
"ROME","0xeb628f","0x728f","29590"
"ROME","0xeb8dc6","0x5dc6","29220"
"ROME","0xec376c","0x876c","27120"
"ROME","0xeb4c8a","0x5c8a","27078"
"ROME","0xec37b2","0x87b2","26668"
"ROME","0xeb6c44","0x7c44","26595"
"ROME","0xec02d7","0x52d7","25571"
"ROME","0xeb4cee","0x5cee","25298"
"ROME","0xec30e1","0x80e1","24597"
"ROME","0xea81b4","0xd1b4","24540"
"ROME","0xeb53fc","0x63fc","24180"
"ROME","0xeb5509","0x6509","24180"
"ROME","0xeb62eb","0x72eb","23488"
"ROME","0xeb4d1c","0x5d1c","23464"
"ROME","0xeb7887","0x8887","23235"
"ROME","0xeb7775","0x8775","23233"
"ROME","0xeb8b5a","0x5b5a","22032"
"ROME","0xec00b2","0x50b2","21940"
"ROME","0xec014c","0x514c","21940"
"ROME","0xec35e6","0x85e6","21924"
"ROME","0xebe940","0x7940","21599"
